ID;nr;date;persTag;sex;fn_role;dead;minor;jungfrau;title;prof;staff;off;place;org-pers;sameAs;Kommentar;;;;;;;;;;
199;158;1397-06-19;pe__kunigunde_robschrawt_StB_I_158;f;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
200;158;1397-06-19;pe__matthias_robschwart_von_erdpurg_StB_I_158;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
201;179;1397-10-04;pe__engelprecht_prechtlein_platner_StB_I_179;m;weisend;;;;;platner;;;;;;;;;;;;;;;;
202;179;1397-10-04;pe__christian_platner_StB_I_179;m;witness;;;;erbere lewte;platner;;;;;;;;;;;;;;;;
203;179;1397-10-04;pe__haug_platner_StB_I_179;m;witness;;;;erbere lewte;platner;;;;;;;;;;;;;;;;
204;179;1397-10-04;pe__christine_wagmacherin_StB_I_179;f;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
205;179;1397-10-04;pe__michael_wagmacher_StB_I_179;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
206;179;1397-10-04;pe__ulrich_von_ottakring_StB_I_179;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
207;180;1397-10-04;pe__niklas_schikch_StB_I_180;m;weisend;;;;;;;;;;;;;;;;;;;;;
208;180;1397-10-04;pe__heinrich_pader_in_der_wollzeile_StB_I_180;m;witness;;;;erbere lewte;bader;;;;;;;;;;;;;;;;
209;180;1397-10-04;pe__niklas_von_odenburg_StB_I_180;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
210;180;1397-10-04;pe__gerung_pader_StB_I_180;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
211;198;1397-11-03;pe__stephan_seuberleich_StB_I_198;m;weisend;;;;;riemer;;;;;;;;;;;;;;;;
212;198;1397-11-03;pe__stephan_chrophlein_StB_I_198;m;witness;;;;;;;;;;;;;;;;;;;;;
