ID;nr;date;persTag;sex;fn_role;dead;minor;jungfrau;title;prof;staff;off;place;org-pers;sameAs;Kommentar;;;;;;;;;;
213;198;1397-11-03;pe__johann_rokke_StB_I_198;m;witness;;;;;;;;;;;;;;;;;;;;;
214;198;1397-11-03;pe__laurenz_pawr_von_ottakring_StB_I_198;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
215;199;1397-11-06;pe__elisabeth_piberin_StB_I_199;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
216;199;1397-11-06;pe__johann_piber_StB_I_199;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
217;199;1397-11-06;pe__gilg_druml_StB_I_199;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
218;199;1397-11-06;pe__leopold_maurer_StB_I_199;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
219;199;1397-11-06;pe__jakob_cheufflein_StB_I_199;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
220;199;1397-11-06;pe__anna_gusterin_StB_I_199;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
221;199;1397-11-06;pe__niklas_guster_StB_I_199;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
222;199;1397-11-06;pe__margarethe_phisterin_StB_I_199;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
223;199;1397-11-06;pe__jakob_phister_StB_I_199;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
224;205;1397-11-20;pe__peter_stainprecher_von_alzz_StB_I_205;m;weisend;;;;;;;amtmann_amtmann-rukchendorff;;;;;;;;;;;;;;
225;205;1397-11-20;pe__meinhard_esseich_StB_I_205;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
226;205;1397-11-20;pe__peter_vom_weinhaws_StB_I_205;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
227;205;1397-11-20;pe__agnes_cholbin_StB_I_205;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
228;205;1397-11-20;pe__rudolf_cholb_StB_I_205;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
229;205;1397-11-20;pe__margarethe_magerpachin_StB_I_205;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
230;205;1397-11-20;pe__simon_magerpach_StB_I_205;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
231;206;1397-11-20;pe__christian_von_st_pölten_StB_I_206;m;weisend;;;;;weber;;;;;;;;;;;;;;;;
232;206;1397-11-20;pe__johann_lynczer_StB_I_206;m;witness;;;;erbere lewte;pinter;;;;;;;;;;;;;;;;
233;206;1397-11-20;pe__ulrich_plechler_StB_I_206;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
234;206;1397-11-20;pe__heinrich_schreyner_von_st_pölten_StB_I_206;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
235;206;1397-11-20;pe__dietrich_von_markchdurncz_StB_I_206;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
236;240;1398-03-07;pe__margarethe_swerczleinin_StB_I_240;f;weisend;;;;;;;;;;;;;;;;;;;;;
237;240;1398-03-07;pe__ortolf_swerczlein_StB_I_240;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
238;240;1398-03-07;pe__simon_pawr_StB_I_240;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
239;240;1398-03-07;pe__mayn_von_weczleinstorff_StB_I_240;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
240;240;1398-03-07;pe__katharina_von_weczldorf_StB_I_240;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
241;240;1398-03-07;pe__kunigunde_vischerin_StB_I_240;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
242;240;1398-03-07;pe__paul_vischer_StB_I_240;m;gewiesen/other;;;;;;;hofgeber;;;;;;;;;;;;;;
243;240;1398-03-07;pe__thomas_lyndner_StB_I_240;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
244;241;1398-03-07;pe__johann_pewrl_StB_I_241;m;weisend;;;;;;;;;;;;;;;;;;;;;
245;241;1398-03-07;pe__ulrich_meychsner_StB_I_241;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
246;241;1398-03-07;pe__jakob_wechinger_StB_I_241;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
247;241;1398-03-07;pe__endel_johann_pewrl_StB_I_241;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
248;241;1398-03-07;pe__kunigunde_vischerin_StB_I_240;f;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
249;241;1398-03-07;pe__paul_vischer_StB_I_240;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
250;241;1398-03-07;pe__mutter_kunigunde_vischerin_StB_I_241;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
251;243;1398-03-14;pe__dorothea_hawslodin_StB_I_243;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
252;243;1398-03-14;pe__johann_hawslod_StB_I_243;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
253;243;1398-03-14;pe__ulrich_auweiner_StB_I_243;m;witness;;;;erbere lewte;munzer;;;;;;;;;;;;;;;;
254;243;1398-03-14;pe__heinrich_schepach_StB_I_243;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
255;243;1398-03-14;pe__oswald_chuntter_StB_I_243;m;gewiesen;;;;;munzer;;;;;;;;;;;;;;;;
256;257;1398-04-23;pe__christian_astter_StB_I_257;m;weisend;;;;;;;;;;;;;;;;;;;;;
257;257;1398-04-23;pe__peter_edelporcz_StB_I_257;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
258;257;1398-04-23;pe__johann_pawr_StB_I_257;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
259;257;1398-04-23;pe__margarethe_stuchssin_StB_I_257;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
260;257;1398-04-23;pe__niklas_stuchss_StB_I_257;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
261;257;1398-04-23;pe__en_christian_astter_StB_I_257;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
262;260;1398-05-02;pe__otto_lewbser_StB_I_260;m;weisend;;;;;;;;;;;;;;;;;;;;;
263;260;1398-05-02;pe__christian_schonn_StB_I_260;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
264;260;1398-05-02;pe__simon_popp_StB_I_260;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
265;260;1398-05-02;pe__johann_mader_von_st_mertenperg_StB_I_260;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
266;267;1398-05-30;pe__katharina_lechnerin_StB_I_267;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
267;267;1398-05-30;pe__stephan_lechner_StB_I_267;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
268;267;1398-05-30;pe__otto_hakcher_StB_I_267;m;witness;;;;erbere lewte;;;;;;;QGW Uhlirz 503;;;;;;;;;;
269;267;1398-05-30;pe__konrad_pabenberger_StB_I_267;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
270;267;1398-05-30;pe__johann_choch_StB_I_267;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
271;280;1398-08-01;pe__ulrich_wienner_StB_I_280;m;weisend;;;;;;;;;;;;;;;;;;;;;
272;280;1398-08-01;pe__ruediger_tuchscherer_StB_I_280;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
273;280;1398-08-01;pe__meinhard_trager_StB_I_280;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
274;280;1398-08-01;pe__jakob_uberleger_StB_I_280;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
275;282;1398-08-09;pe__dorothea_posschin_StB_I_282;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
276;282;1398-08-09;pe__albrecht_possch_StB_I_282;m;weisend/other;;;;;;;;von Perchtoldsdorf;;;;;;;;;;;;;
277;282;1398-08-09;pe__konrad_schonprot_ii_StB_I_282;m;witness;;;;erbere lewte;;;;von Ottakring;;;;;;;;;;;;;
278;282;1398-08-09;pe__johann_horner_StB_I_282;m;witness;;;;erbere lewte;;;;von Ottakring;;;;;;;;;;;;;
279;282;1398-08-09;pe__margarethe_ayhenstawderin_StB_I_282;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
280;282;1398-08-09;pe__niklas_ayhenstawder_StB_I_282;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
281;284;1398-08-13;pe__margarethe_rollin_StB_I_284;f;weisend;;;;;;;;;;;;;;;;;;;;;
282;284;1398-08-13;pe__martin_roll_StB_I_284;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
283;284;1398-08-13;pe__markhard_chugler_StB_I_284;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
284;284;1398-08-13;pe__siegfried_sakch_StB_I_284;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
285;284;1398-08-13;pe__niklas_ayhenstawder_StB_I_282;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
286;284;1398-08-13;pe__elisabeth_ayhenstawderin_StB_I_284;f;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
287;284;1398-08-13;pe__heinrich_ayhenstawder_StB_I_284;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
288;289;1398-08-29;pe__barbara_pinterin_StB_I_289;f;weisend;;;jungfrau;;;;;;;;;;;;;;;;;;
289;289;1398-08-29;pe__martin_pinter_StB_I_289;m;weisend/other;dead;;;;;;;von zewnig;;;;;;;;;;;;;
290;289;1398-08-29;pe__johann_zewinger_StB_I_289;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
291;289;1398-08-29;pe__niklas_von_lewbs_StB_I_289;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
292;289;1398-08-29;pe__niklas_zewinger_StB_I_289;m;gewiesen;dead;;;purger;;;;Wienn;;;;;;;;;;;;;
293;291;1398-08-30;pe__anna_zingiezzerin_StB_I_291;f;weisend;;;;;;;;;;;;;;;;;;;;;
294;291;1398-08-30;pe__niklas_zingiezzer_StB_I_291;m;weisend/other;;;;;zingizzer;;;;;;;;;;;;;;;;
295;291;1398-08-30;pe__niklas_wenntenhaw_StB_I_291;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
296;291;1398-08-30;pe__niklas_straiffing_StB_I_291;m;witness;;;;erbere lewte;zingizzer;;;;;;;;;;;;;;;;
297;291;1398-08-30;pe__elisabeth_dienerin_StB_I_291;f;gewiesen;dead;;jungfrau;;;dienerin;;;geistleichen frawn kloster dacz Sand Marienmagdalenen vor Schottentor ze Wienn;;;;;;;;;;;;
298;294;1398-09-12;pe__friedrich_ratgeb_StB_I_294;m;weisend;;;;;;;;Niedersiebenbrunn;;;;;;;;;;;;;
299;294;1398-09-12;pe__agnes_hetlerin_StB_I_294;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
300;294;1398-09-12;pe__pilgrim_hetler_StB_I_294;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
301;294;1398-09-12;pe__michael_herwart_auf_der_wieden_StB_I_294;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
302;294;1398-09-12;pe__philipp_furrer_auf_der_wieden_StB_I_294;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
303;294;1398-09-12;pe__johann_ratgeb_StB_I_294;m;gewiesen;dead;;;;;;;auf_der_wieden_zu_wien;;;;;;;;;;;;;
304;308;1398-10-31;pe__katharina_hegeleinin_StB_I_308;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
305;308;1398-10-31;pe__heinrich_hegelein_StB_I_308;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
306;308;1398-10-31;pe__thomas_gutschann_StB_I_308;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
307;308;1398-10-31;pe__friedrich_rosentingl_StB_I_308;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
308;308;1398-10-31;pe__heinrich_griezzlein_StB_I_308;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
309;308;1398-10-31;pe__heinrich_romer_StB_I_308;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
310;308;1398-10-31;pe__peter_satler_von_salzburg_StB_I_308;m;gewiesen;;;;;satler;;;;;;;;;;;;;;;;
311;310;1398-11-09;pe__kunigunde_zimmermannin_StB_I_310;f;weisend;;;;fraw;;;;Inzersdorf;;;;;;;;;;;;;
312;310;1398-11-09;pe__konrad_zimmermann_von_inzersdorf_StB_I_310;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
313;310;1398-11-09;pe__johann_murr_StB_I_310;m;witness;;;;;;;;;;;;;;;;;;;;;
314;310;1398-11-09;pe__jakob_murr_StB_I_310;m;witness;;;;;;;;;;;;;;;;;;;;;
315;310;1398-11-09;pe__gisela_murrin_StB_I_310;f;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
316;310;1398-11-09;pe__johann_murr_i_StB_I_310;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
317;312;1398-11-12;pe__siegfried_schuster_von_tulln_StB_I_312;m;weisend;;;;;;;;;;;;;;;;;;;;;
318;312;1398-11-12;pe__johann_slozzer_StB_I_312;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
319;312;1398-11-12;pe__peter_von_kirichperkch_StB_I_312;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
320;312;1398-11-12;pe__peter_diener_StB_I_312;m;gewiesen;;;;;;diener;;;maister Anthoni des Wuntarczts_purger ze Wienn;;;;;;;;;;;;
321;312;1398-11-12;pe__anton_wundarzt_StB_I_312;m;gewiesen/other;;;;purger;;;;Wien;;;;;;;;;;;;;
322;312;1398-11-12;pe__bartholomaeus_schuster_StB_I_312;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
323;312;1398-11-12;pe__cecilie_gugelin_StB_I_312;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
324;312;1398-11-12;pe__stephan_gugel_StB_I_312;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
325;313;1398-11-13;pe__peter_herman_StB_I_313;m;weisend;;;;;;;;;;;;;;;;;;;;;
326;313;1398-11-13;pe__jakob_puchfeler_StB_I_313;m;weisend;;;;;;;;;;;;;;;;;;;;;
327;313;1398-11-13;pe__peter_prager_StB_I_313;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
328;313;1398-11-13;pe__heinrich_puchfeler_StB_I_313;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
329;313;1398-11-13;pe__margarethe_puchfelerin_StB_I_313;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
330;313;1398-11-13;pe__hermann_puchfeler_StB_I_313;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
331;313;1398-11-13;pe__elisabeth_hubschensprung_StB_I_313;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
332;313;1398-11-13;pe__michael_hubschensprung_StB_I_313;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
333;313;1398-11-13;pe__peter_puchfeler_StB_I_313;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
334;318;1398-12-10;pe__georg_zwickhel_StB_I_318;m;weisend;;;;;;;;;;;;;;;;;;;;;
335;318;1398-12-10;pe__andreas_ragczer_StB_I_318;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
336;318;1398-12-10;pe__heinrich_gewchnecht_StB_I_318;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
337;318;1398-12-10;pe__niklas_zwikchel_StB_I_318;m;gewiesen;dead;;;;;weinschenk;;;geistlichen frawn dacz Sand Chlarn;;;;;;;;;;;;
338;319;1398-12-10;pe__anna_kernerin_StB_I_319;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
339;319;1398-12-10;pe__heinrich_kerner_StB_I_319;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
340;319;1398-12-10;pe__ulrich_nustorffer_StB_I_319;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
341;319;1398-12-10;pe__johann_ellent_StB_I_319;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
342;319;1398-12-10;pe__paul_strewchl_StB_I_319;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
343;319;1398-12-10;pe__kunigunde_eisnerin_StB_I_319;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
344;319;1398-12-10;pe__peter_eisner_StB_I_319;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
345;319;1398-12-10;pe__siegfried_strewchl_StB_I_319;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
346;320;1398-12-10;pe__margarethe_trawsennichtin_StB_I_320;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
347;320;1398-12-10;pe__niklas_trawsennicht_StB_I_320;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
348;320;1398-12-10;pe__michael_harrant_StB_I_320;m;witness;;;;erbere lewte;;;;Syerndorf;;;;;;;;;;;;;
349;320;1398-12-10;pe__georg_pawngartner_StB_I_320;m;witness;;;;erbere lewte;;;;Syerndorf;;;;;;;;;;;;;
350;320;1398-12-10;pe__stephan_wachsgiezzer_StB_I_320;m;gewiesen;dead;;;;;;;Syerndorf;;;;;;;;;;;;;
351;321;1398-12-10;pe__anna_taschnerin_StB_I_321;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
352;321;1398-12-10;pe__jakob_taschner_StB_I_321;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
353;321;1398-12-10;pe__niklas_von_gelestorf_StB_I_321;m;witness;;;;erbere herr_her_chorherr;;;;;Sand Stephan ze Wienn;;;;;;;;;;;;
354;321;1398-12-10;pe__niklas_fleischhakcher_von_gelestorf_StB_I_321;m;witness;;;;erbere herr;;;;;;;;;;;;;;;;;
355;321;1398-12-10;pe__konrad_swebel_StB_I_321;m;gewiesen;dead;;;;;;;Gelestorf;;;;;;;;;;;;;
356;321;1398-12-10;pe__kunigunde_wachsgiesserin_StB_I_321;f;gewiesen;dead;;;fraw;;;;Gelestorf;;;;;;;;;;;;;
357;321;1398-12-10;pe__stephan_wachsgiezzer_StB_I_320;m;gewiesen/other;dead;;;;;;;Gelestorf;;;;;;;;;;;;;
358;340;1399-01-30;pe__katharina_sneyderin_StB_I_340;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
359;340;1399-01-30;pe__augustin_sneyder_StB_I_340;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
360;340;1399-01-30;pe__ortolf_von_mayring_StB_I_340;m;gewiesen;dead;;;;weinschenk;;;;;;;;;;;;;;;;
361;341;1399-01-30;pe__wolfhard_pader_von_trautmannsdorf_StB_I_341;m;weisend;;;;;;;;;;;;;;;;;;;;;
362;341;1399-01-30;pe__jakob_pader_des_herzogs_StB_I_341;m;witness;;;;erbere lewte;;;;in der Walichstraße;;;;;;;;;;;;;
363;341;1399-01-30;pe__otto_pader_StB_I_341;m;witness;;;;erbere lewte;pader;;;an der perliebinn;;;;;;;;;;;;;
364;341;1399-01-30;pe__margarethe_von_waydhofen_StB_I_341;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
365;341;1399-01-30;pe__niklas_von_waydhofen_StB_I_341;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
366;341;1399-01-30;pe__elisabeth_chussenphenningin_StB_I_341;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
367;341;1399-01-30;pe__konrad_chussenphenning_StB_I_341;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
368;344;1399-02-15;pe__katharina_sweykerin_StB_I_344;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
369;344;1399-02-15;pe__stephan_sweyker_StB_I_344;m;weisend/other;;;;;tuchscherer;;;;;;;;;;;;;;;;
370;344;1399-02-15;pe__andreas_an_dem_hof_zu_wien_StB_I_344;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
371;344;1399-02-15;pe__peter_obeinander_StB_I_344;m;witness;;;;erbere lewte;mentler;;;;;;;;;;;;;;;;
372;344;1399-02-15;pe__katharina_ludweigerinn_StB_I_344;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
373;344;1399-02-15;pe__konrad_mayslein_StB_I_344;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
374;348;1399-02-20;pe__elisabeth_hiertleinin_StB_I_348;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
375;348;1399-02-20;pe__georg_hiertlein_StB_I_348;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
376;348;1399-02-20;pe__simon_fullchop_StB_I_348;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
377;348;1399-02-20;pe__georg_walich_StB_I_348;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
378;348;1399-02-20;pe__kunigunde_in_dem_mawtthaws_StB_I_348;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
379;348;1399-02-20;pe__johann_in_dem_mawthaws_StB_I_348;m;gewiesen/other;;;;;;;;vor dem Stubentor;;;;;;;;;;;;;
380;348;1399-02-20;pe__dorothea_hochenawerin_StB_I_348;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
381;348;1399-02-20;pe__johann_hohenawer_StB_I_348;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
382;348;1399-02-20;pe__agnes_wydmerin_StB_I_348;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
383;348;1399-02-20;pe__niklas_wydmer_StB_I_348;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
384;349;1399-02-20;pe__niklas_von_mewrling_StB_I_349;m;weisend;;;;;;;;;;;;;;;;;;;;;
385;349;1399-02-20;pe__wolfhard_zollner_StB_I_349;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
386;349;1399-02-20;pe__georg_spindler_StB_I_349;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
387;349;1399-02-20;pe__christian_StB_I_349;m;gewiesen;;minor;;;;;;;;;;;;;;;;;;;
388;349;1399-02-20;pe__anna_von_st_pölten_StB_I_349;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
389;349;1399-02-20;pe__jakob_von_st_pölten_StB_I_349;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
390;349;1399-02-20;pe__katharina_ewigtrukchin_StB_I_349;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
391;349;1399-02-20;pe__ruediger_ewigtrukch_StB_I_349;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
392;349;1399-02-20;pe__johann_raydlein_StB_I_349;m;gewiesen;;;;;;;zollner;;auf dem Mawtthaws an dem Hochenmarkcht ze Wienn;;;;;;;;;;;;
393;350;1399-02-22;pe__petra_gonerin_StB_I_350;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
394;350;1399-02-22;pe__johann_goner_StB_I_350;m;weisend/other;;;;;;;;von Horn;;;;;;;;;;;;;
395;350;1399-02-22;pe__johann_pewgenslag_StB_I_350;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
396;350;1399-02-22;pe__johann_piligreym_StB_I_350;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
397;350;1399-02-22;pe__ernreich_pekch_StB_I_350;m;gewiesen;;;;;pekch;;;von Horn;;;;;;;;;;;;;
398;350;1399-02-22;pe__katharina_zymmermanin_StB_I_350;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
399;350;1399-02-22;pe__heinrich_zymmerman_StB_I_350;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
400;354;1399-02-27;pe__johann_chriechpwam_StB_I_354;m;weisend;;;;;;;;;;;;;;;;;;;;;
401;354;1399-02-27;pe__ulrich_weber_StB_I_354;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
402;354;1399-02-27;pe__kolomann_pondlein_StB_I_354;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
403;354;1399-02-27;pe__eberhard_puchel_StB_I_354;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
404;357;1399-03-06;pe__ulrich_tuchberayter_StB_I_357;m;weisend;;;;;tuchbereiter;;;;;;;;;;;;;;;;
405;357;1399-03-06;pe__johann_list_StB_I_357;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
406;357;1399-03-06;pe__tyeme_sneyder_StB_I_357;m;witness;;;;erbere lewte;sneyder;;;;;;;;;;;;;;;;
407;357;1399-03-06;pe__ortolf_fuetrer_StB_I_357;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
408;357;1399-03-06;pe__elisabeth_swabin_StB_I_357;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
409;357;1399-03-06;pe__johann_swab_StB_I_357;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
410;357;1399-03-06;pe__gertrud_wolfin_StB_I_357;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
411;357;1399-03-06;pe__ulrich_wolf_StB_I_357;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
412;360;1399-04-08;pe__niklas_pleystain_StB_I_360;m;weisend;;;;;;;;;;;;;;;;;;;;;
413;360;1399-04-08;pe__niklas_cheser_StB_I_360;m;witness;;;;erbere lewte;;;;von Ertpurkch;;;;;;;;;;;;;
414;360;1399-04-08;pe__wolfhard_zewner_StB_I_360;m;witness;;;;erbere lewte;;;;von Ertpurkch;;;;;;;;;;;;;
415;360;1399-04-08;pe__anna_pawkkerin_StB_I_360;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
416;360;1399-04-08;pe__johann_pawkker_StB_I_360;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
417;385;1399-05-27;pe__katharina_pinterin_StB_I_385;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
418;385;1399-05-27;pe__christian_pinter_StB_I_385;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
419;385;1399-05-27;pe__johann_langkusch_StB_I_385;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
420;385;1399-05-27;pe__niklas_progentlein_StB_I_385;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
421;385;1399-05-27;pe__elisabeth_schusterin_StB_I_385;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
422;385;1399-05-27;pe__georg_schuster_StB_I_385;m;gewiesen/other;dead;;;;;;;in der Schefstrazz ze Wienn;;;;;;;;;;;;;
423;387;1399-06-10;pe__ulrich_chlokchler_StB_I_387;m;weisend;;;;;;;;von Sweinwart;;;;;;;;;;;;;
424;387;1399-06-10;pe__leopold_sigershofer_StB_I_387;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
425;387;1399-06-10;pe__laurenz_volrat_StB_I_387;m;witness;;;;erbere lewte;;;;von Sweinwart;;;;;;;;;;;;;
426;387;1399-06-10;pe__katharina_chlokchlerin_StB_I_387;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
427;387;1399-06-10;pe__niklas_chlokchler_StB_I_387;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
428;387;1399-06-10;pe__heinrich_wesler_StB_I_387;m;gewiesen;dead;;;;;;;gesezzen an dem Newnmarkcht ze Wienn;;;;;;;;;;;;;
429;390;1399-06-14;pe__konrad_gumpp_StB_I_390;m;weisend;;;;;;;;von Steinestorf;;;;;;;;;;;;;
430;390;1399-06-14;pe__niklas_schonn_StB_I_390;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
